candidate_id,position_id,status,ts,filename
1,18,Profile Created,2022-06-26 11:17:09,status_history_2022-07-04_03-15-00.csv
1,18,Application Completed,2022-06-26 13:02:39,status_history_2022-07-04_03-15-00.csv
1,18,Application Terminated,2022-07-03 11:10:33,status_history_2022-07-04_03-15-00.csv
1,18,Application Reviewed,2022-07-03 11:49:47,status_history_2022-07-04_03-15-00.csv
2,3,Profile Created,2021-05-18 12:13:43,status_history_2021-07-17_03-18-00.csv
2,3,Application Completed,2021-06-06 11:13:32,status_history_2021-07-17_03-18-00.csv
2,3,Application Reviewed,2021-06-13 11:37:34,status_history_2021-07-17_03-18-00.csv
2,3,Phone Interview Requested,2021-06-14 11:14:07,status_history_2021-07-17_03-18-00.csv
2,3,Phone Interview Scheduled,2021-06-15 12:48:22,status_history_2021-07-17_03-18-00.csv
2,3,Phone Interview Completed,2021-06-22 11:44:47,status_history_2021-07-17_03-18-00.csv
2,3,On-Site Interview Requested,2021-06-26 11:50:27,status_history_2021-07-17_03-18-00.csv
2,3,On-Site Interview Scheduled,2021-06-27 11:54:15,status_history_2021-07-17_03-18-00.csv
2,3,On-Site Interview Completed,2021-07-13 11:49:15,status_history_2021-07-17_03-18-00.csv
2,3,On-Site Interview Terminated,2021-07-16 12:08:19,status_history_2021-07-17_03-18-00.csv
2,13,Profile Created,2021-11-17 12:05:58,status_history_2021-12-17_03-17-00.csv
2,13,Application Completed,2021-12-14 11:17:43,status_history_2021-12-17_03-17-00.csv
2,13,Candidate Withdrew,2021-12-16 11:47:15,status_history_2021-12-17_03-17-00.csv
3,9,Profile Created,2021-07-24 11:51:55,status_history_2021-10-08_03-03-00.csv
3,9,Application Completed,2021-08-26 12:01:18,status_history_2021-10-08_03-03-00.csv
3,9,Application Reviewed,2021-08-27 11:47:20,status_history_2021-10-08_03-03-00.csv
3,9,Phone Interview Scheduled,2021-08-29 11:31:37,status_history_2021-10-08_03-03-00.csv
3,9,Phone Interview Requested,2021-08-29 12:13:30,status_history_2021-10-08_03-03-00.csv
3,9,Phone Interview Completed,2021-09-08 11:22:03,status_history_2021-10-08_03-03-00.csv
3,9,On-Site Interview Requested,2021-09-08 12:18:48,status_history_2021-10-08_03-03-00.csv
3,9,On-Site Interview Scheduled,2021-09-12 12:21:26,status_history_2021-10-08_03-03-00.csv
3,9,On-Site Interview Completed,2021-09-30 12:23:05,status_history_2021-10-08_03-03-00.csv
3,9,Offer Extended,2021-10-05 11:47:30,status_history_2021-10-08_03-03-00.csv
3,9,Offer Accepted,2021-10-07 11:36:02,status_history_2021-10-08_03-03-00.csv
4,9,Profile Created,2021-08-06 12:08:15,status_history_2021-08-31_03-13-00.csv
4,9,Application Completed,2021-08-24 12:03:56,status_history_2021-08-31_03-13-00.csv
4,9,Application Reviewed,2021-08-25 11:43:40,status_history_2021-08-31_03-13-00.csv
4,9,Application Terminated,2021-08-30 11:37:03,status_history_2021-08-31_03-13-00.csv
5,2,Profile Created,2021-01-19 11:56:13,status_history_2021-02-13_03-21-00.csv
5,2,Application Completed,2021-02-07 12:17:53,status_history_2021-02-13_03-21-00.csv
5,2,Application Reviewed,2021-02-12 11:28:56,status_history_2021-02-13_03-21-00.csv
5,2,Application Terminated,2021-02-12 12:25:41,status_history_2021-02-13_03-21-00.csv
6,11,Profile Created,2021-09-11 12:13:51,status_history_2021-10-10_03-01-00.csv
6,11,Application Completed,2021-09-29 11:35:42,status_history_2021-10-10_03-01-00.csv
6,11,Application Reviewed,2021-10-04 12:21:35,status_history_2021-10-10_03-01-00.csv
6,11,Application Terminated,2021-10-09 11:51:40,status_history_2021-10-10_03-01-00.csv
7,15,Profile Created,2022-01-01 12:41:23,status_history_2022-01-14_03-08-00.csv
7,15,Application Completed,2022-01-03 11:01:15,status_history_2022-01-14_03-08-00.csv
7,15,Application Reviewed,2022-01-07 12:01:49,status_history_2022-01-14_03-08-00.csv
7,15,Application Terminated,2022-01-13 12:26:57,status_history_2022-01-14_03-08-00.csv
8,14,Profile Created,2021-12-23 13:00:50,status.history.resend.2022-01-04_03-09-00.csv
