player,session,session_date,score,flag
Player 1,Agility,2022-01-03,7,Actual
Player 1,Agility,2022-01-04,8,Actual
Player 1,Agility,2022-01-05,8,Carried Over
Player 1,Agility,2022-01-06,8,Actual
Player 1,Agility,2022-01-07,8,Carried Over
Player 1,Agility,2022-01-10,4,Actual
Player 1,Agility,2022-01-11,4,Carried Over
Player 1,Agility,2022-01-12,9,Actual
Player 1,Agility,2022-01-13,9,Carried Over
Player 1,Agility,2022-01-14,3,Actual
Player 1,Agility,2022-01-17,8,Actual
Player 1,Agility,2022-01-18,8,Carried Over
Player 1,Agility,2022-01-19,5,Actual
Player 1,Agility,2022-01-20,3,Actual
Player 1,Agility,2022-01-21,3,Actual
Player 1,Agility,2022-01-24,6,Actual
Player 1,Agility,2022-01-25,7,Actual
Player 1,Agility,2022-01-26,7,Actual
Player 1,Agility,2022-01-27,7,Carried Over
Player 1,Agility,2022-01-28,7,Carried Over
Player 1,Agility,2022-01-31,9,Actual
Player 1,Agility,2022-02-01,5,Actual
Player 1,Agility,2022-02-02,6,Actual
Player 1,Agility,2022-02-03,6,Carried Over
Player 1,Agility,2022-02-04,6,Carried Over
Player 1,Agility,2022-02-07,9,Actual
Player 1,Agility,2022-02-08,3,Actual
Player 1,Agility,2022-02-09,3,Actual
Player 1,Agility,2022-02-10,3,Carried Over
Player 1,Agility,2022-02-11,5,Actual
Player 1,Agility,2022-02-14,4,Actual
Player 1,Agility,2022-02-15,4,Actual
Player 1,Agility,2022-02-16,3,Actual
Player 1,Agility,2022-02-17,3,Carried Over
Player 1,Agility,2022-02-18,3,Carried Over
Player 1,Agility,2022-02-21,3,Carried Over
Player 1,Agility,2022-02-22,3,Carried Over
Player 1,Agility,2022-02-23,6,Actual
Player 1,Agility,2022-02-24,4,Actual
Player 1,Agility,2022-02-25,7,Actual
Player 1,Agility,2022-02-28,7,Carried Over
Player 1,Agility,2022-03-01,4,Actual
Player 1,Agility,2022-03-02,10,Actual
Player 1,Agility,2022-03-03,10,Carried Over
Player 1,Agility,2022-03-04,3,Actual
Player 1,Agility,2022-03-07,5,Actual
Player 1,Agility,2022-03-08,9,Actual
Player 1,Agility,2022-03-09,9,Actual
Player 1,Agility,2022-03-10,3,Actual
Player 1,Agility,2022-03-11,3,Carried Over
Player 1,Agility,2022-03-14,9,Actual
Player 1,Agility,2022-03-15,9,Actual
Player 1,Agility,2022-03-16,8,Actual
Player 1,Agility,2022-03-17,8,Carried Over
Player 1,Agility,2022-03-18,8,Actual
Player 1,Agility,2022-03-21,8,Actual
Player 1,Agility,2022-03-22,6,Actual
Player 1,Agility,2022-03-23,8,Actual
Player 1,Agility,2022-03-24,4,Actual
Player 1,Agility,2022-03-25,4,Carried Over
Player 1,Agility,2022-03-28,6,Actual
Player 1,Agility,2022-03-29,6,Carried Over
Player 1,Agility,2022-03-30,3,Actual
Player 1,Agility,2022-03-31,7,Actual
Player 1,Agility,2022-04-01,7,Carried Over
Player 1,Agility,2022-04-04,6,Actual
Player 1,Agility,2022-04-05,7,Actual
